URL;ID;PRICE;OLDPRICE;BRAND;DESC;AVAIL;CAT;NAME;IMAGE;ATTRS COLOR;SIZE
https://guthastore.it/products/air-max-90-cu0675300;4788442988676;;;NIKE;<p>Sneakers Air Max 90 di colore verde in cavallino di Nike. Modello con effetto pelle di coccodrillo goffrata, chiusura con lacci, stampa animalier, suola piatta in gomma e applicazione con logo sulla linguetta.</p>;;Scarpe;Air Max 90 CU0675300;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/air_max_90_cu-1.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/air-max-90-cu0675300-864244.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/air-max-90-cu0675300-677157.jpg,https://cdn.shopify.com/s/files/1/0362/4560/2436/products/air-max-90-cu0675300-952335.jpg;;Taglia
https://guthastore.it/products/air-max-90-cu0675300?variant=33209900662916;33209900662916;132.00;;;;0;;38½;;;38½
https://guthastore.it/products/air-max-90-cu0675300?variant=33209900695684;33209900695684;132.00;;;;2;;39;;;39
https://guthastore.it/products/air-max-90-cu0675300?variant=33209900728452;33209900728452;132.00;;;;1;;40;;;40
https://guthastore.it/products/bapestavari;4788443283588;;;BAPE;;;Scarpe;Bathing Ape Bapesta Camo 20th Anniversary Blue;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/image_14d43a4e-6cfd-4958-920b-f18dcf0906e6.jpg;;Taglia
https://guthastore.it/products/bapestavari?variant=33209901252740;33209901252740;249.00;;;;1;;9 US;;;9 US
https://guthastore.it/products/bapestavari?variant=33228676497540;33228676497540;249.00;;;;1;;10 US;;;10 US
https://guthastore.it/products/bape-sta-zebrava;4788443349124;;;BAPE;;;Scarpe;A Bathing Ape Bapesta Zebra;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/image_e2ce1723-0eb1-48af-b179-32128a1cc0b9.jpg;;Taglia
https://guthastore.it/products/bape-sta-zebrava?variant=33209901449348;33209901449348;249.00;;;;1;;8½US;;;8½US
https://guthastore.it/products/bape-sta-zebrava?variant=33209901482116;33209901482116;249.00;;;;1;;9½US;;;9½US
https://guthastore.it/products/blazer-sacai100;4788443447428;;;NIKE LAB;;;Scarpe;NIKE BLAZER MID SACAI WHITE GREY BV0072-100;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/image_3a724afa-ded8-4e39-a071-37d31e701643.jpg;;Taglia
https://guthastore.it/products/blazer-sacai100?variant=33209901744260;33209901744260;400.00;;;;0;;9 US / 42.5 EU;;;9 US / 42.5 EU
https://guthastore.it/products/blazer-sacai100?variant=33209901777028;33209901777028;400.00;;;;0;;10.5 US / 44.5 EU;;;10.5 US / 44.5 EU
https://guthastore.it/products/blazer-sacai100?variant=33209901809796;33209901809796;400.00;;;;0;;11 US / 45 EU;;;11 US / 45 EU
https://guthastore.it/products/cali-sport-wns-37387102;4788443545732;;;PUMA;<p>Puma Cali ha il fondo in gomma leggermente rialzato e tomaia in pelle bianca con dettagli e logo PUMA oro</p>;;Scarpe;Puma Cali Sport  WN'S 37387102;https://cdn.shopify.com/s/files/1/0362/4560/2436/products/puma_cali_sport_black-1.jpg;;Taglia
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209901973636;33209901973636;64.00;;;;0;;36 EU;;;36 EU
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209902006404;33209902006404;64.00;;;;2;;37 EU;;;37 EU
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209902039172;33209902039172;64.00;;;;0;;37.5 EU;;;37.5 EU
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209902071940;33209902071940;64.00;;;;1;;38 EU;;;38 EU
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209902104708;33209902104708;64.00;;;;0;;38.5 EU;;;38.5 EU
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209902137476;33209902137476;64.00;;;;0;;39 EU;;;39 EU
https://guthastore.it/products/cali-sport-wns-37387102?variant=33209902170244;33209902170244;64.00;;;;0;;40 EU;;;40 EU
